Language,Query,GitHubUrl,Relevance,Notes
Go,how to check if a checkbox is checked,https://github.com/webx-top/webx/blob/800783e939f407b66b20848589b41d2bb1aeb024/lib/forms/fields/options.go#L183-L189,0,irrelevant query and code
Go,randomly extract x items from a list,https://github.com/inverse-inc/packetfence/blob/f29912bde7974931d699aba60aa8fde1c5d9a826/go/dhcp/utils.go#L218-L236,2,
Go,set file attrib hidden,https://github.com/gopherjs/webgl/blob/39bd6d41eeb587730fcaa65adf71978fb10675bc/webgl.go#L1008-L1010,0,
Go,finding time elapsed using a timer,https://github.com/luci/luci-go/blob/f6cef429871eee3be7c6903af88d3ee884eaf683/common/retry/limited.go#L45-L76,1,
Go,socket recv timeout,https://github.com/nanomsg/mangos-v1/blob/b213a8e043f6541ad45f946a2e1c5d3617987985/compat/compat.go#L335-L338,1,
Go,string to date,https://github.com/Unknwon/com/blob/0fed4efef7553eed2cd04624befccacda78bb8e2/time.go#L31-L34,3,
Go,format date,https://github.com/webx-top/com/blob/01419a9b4188b43cba46b7ae02136d01e4fccf9c/time.go#L116-L138,2,
Go,reading element from html - <td>,https://github.com/ugorji/go/blob/1d7ab5c50b36701116070c4c612259f93c262367/codec/json.go#L678-L690,1,
Go,unique elements,https://github.com/badgerodon/penv/blob/7a4c6d64fa119b52afe2eb3f0801886bd8785318/penv.go#L23-L35,1,
Go,extract data from html content,https://github.com/kataras/iris/blob/6aafc0b9d5e97d0c52e325d8c4b4d23d61eb3f9d/context/context.go#L2767-L2770,1,
Go,heatmap from 3d coordinates,https://github.com/cloudfoundry/bosh-utils/blob/757f0ce2bf30bab7848e17679ca54f74e574facb/httpclient/socksify.go#L25-L107,0,
Go,positions of substrings in string,https://github.com/dop251/goja/blob/8d6ee3d1661108ff8433016620abb64dfa6d9937/string_unicode.go#L201-L213,0,
Go,extract data from html content,https://github.com/aymerick/douceur/blob/f9e29746e1161076eae141dd235f5d98b546ec3e/inliner/inliner.go#L93-L102,1,
Go,convert int to bool,https://github.com/cuigh/auxo/blob/35f08384a278c4f5c01bf96896e5964611e4a05d/util/cast/try.go#L10-L27,1,
Go,priority queue,https://github.com/cupcake/gokiq/blob/ebbb02812f6826798d779fbda06921d45b2c4446/worker.go#L79-L85,0,
Go,binomial distribution,https://github.com/qorio/maestro/blob/b3594982be16e2aeff0215d8d4a4d03fd563bdfb/pkg/yaml/yaml.go#L563-L585,0,
Go,how to read the contents of a .gz compressed file?,https://github.com/NebulousLabs/merkletree/blob/08d5d54b07f5e86a27f2d7431d0bc0300f5a9328/fuzz.go#L70-L76,0,
Go,how to determine a string is a valid word,https://github.com/huandu/xstrings/blob/8bbcf2f9ccb55755e748b7644164cd4bdce94c1d/manipulate.go#L179-L217,1,
Go,how to get current date,https://github.com/google/go-genproto/blob/54afdca5d873f7b529e2ce3def1a99df16feda90/googleapis/cloud/talent/v4beta1/filters.pb.go#L1527-L1532,0,
Go,convert html to pdf,https://github.com/advancedlogic/GoOse/blob/6cd46faf50eb2105cd5de7328ee8eb62557895c9/cleaner.go#L487-L568,1,
Go,convert a date string into yyyymmdd,https://github.com/grokify/gotilla/blob/a89420864b4d1cc22c57bcc025cc960a91372b37/time/timeutil/timeutil.go#L276-L283,2,
Go,read text file line by line,https://github.com/wcharczuk/go-chart/blob/9852fce5a172598e72d16f4306f0f17a53d94eb4/util/file_util.go#L17-L34,3,"This code is not completely correct, but it intends to do what the description says."
Go,write csv,https://github.com/foolin/gocsv/blob/d1cfc1a54940e0b038e7f221a362c8c51eacd2c9/tools/mergecsv/mergecsv.go#L21-L117,2,
Go,encode url,https://github.com/hoisie/web/blob/a498c022b2c0babab2bf9c0400754190b24c8c39/helpers.go#L47-L57,1,
Go,how to randomly pick a number,https://github.com/Songmu/strrand/blob/5195340ba52ce1bb6918091f054e4c8fdc645c41/strrand.go#L37-L43,2,
Go,regex case insensitive,https://github.com/choria-io/go-validator/blob/4ce2ef25983faa873cc4bcea0f1ef2a4273d42cc/regex/regex.go#L10-L21,1,
Go,export to excel,https://github.com/mkb218/gosndfile/blob/e0c9ef895ee23c154b6fe25b5261daf514df9941/sndfile/virtual.go#L83-L87,0,
Go,regex case insensitive,https://github.com/json-iterator/go/blob/0ff49de124c6f76f8494e194af75bde0f1a49a29/reflect.go#L44-L50,0,
Go,json to xml conversion,https://github.com/clbanning/x2j/blob/5e605d46809c441eb0e565867b63f7d80c9140c2/x2j.go#L124-L141,1,
Go,pretty print json,https://github.com/denverdino/aliyungo/blob/611ead8a6fedf409d6512b6e4f44f3f1cbc65755/util/util.go#L179-L185,2,
Go,confusion matrix,https://github.com/google/go-genproto/blob/54afdca5d873f7b529e2ce3def1a99df16feda90/googleapis/cloud/automl/v1beta1/classification.pb.go#L486-L488,0,
Go,underline text in label widget,https://github.com/aarzilli/nucular/blob/64ec1eba91814ebb417978927206070dd1fc44e1/nucular.go#L1658-L1672,1,
Go,httpclient post json,https://github.com/ory/hydra/blob/67c246c177446daab64be00ba82b3aea1a546570/sdk/go/hydra/client/admin/get_json_web_key_parameters.go#L103-L106,0,
Go,all permutations of a list,https://github.com/JamesClonk/vultr/blob/fed59ad207c9bda0a5dfe4d18de53ccbb3d80c91/cmd/commands.go#L12-L190,0,"It looks like the search token ""list"" is heavily skewed towards ""list"" tokens in the code (but are not syntactically lists)."
Go,converting uint8 array to image,https://github.com/Microsoft/go-winio/blob/3fe4fa31662f6ede2353d913e93907b8e096e0b6/pkg/etw/fieldopt.go#L222-L230,0,
Go,positions of substrings in string,https://github.com/assertgo/assert/blob/a3e1a2d6fd7ef7614e7f3cacb8a6c341ca978024/string.go#L44-L47,1,
Go,initializing array,https://github.com/contiv/netplugin/blob/965773066d2b8ebed3514979949061a03d46fd20/netplugin/plugin/netplugin.go#L286-L305,0,
Go,sort string list,https://github.com/pivotal-cf/go-pivnet/blob/e68f8203b478c0c65b90f196471522949c002710/release_dependencies.go#L28-L53,0,
Go,aes encryption,https://github.com/hyperledger/fabric/blob/49f496925df1e66198d7ec794849536c9f8b104b/bccsp/sw/aes.go#L78-L98,3,
Go,buffered file reader read text,https://github.com/yuin/gopher-lua/blob/8bfc7677f583b35a5663a9dd934c08f3b5774bbb/iolib.go#L131-L140,1,
Go,unzipping large files,https://github.com/rakyll/statik/blob/3bac566d30cdbeddef402a80f3d6305860e59f12/fs/fs.go#L55-L96,2,
Go,socket recv timeout,https://github.com/vaughan0/go-zmq/blob/425c333a2ab9e2615ff4ff7deced6e37730b544e/sockopts.go#L112-L114,1,
Go,copying a file to a path,https://github.com/hashicorp/vault/blob/7e96d5c2b53ee9e22439f3bc0cb366d7e92f949b/sdk/physical/file/file.go#L350-L355,1,
Go,how to read the contents of a .gz compressed file?,https://github.com/franela/goreq/blob/bcd34c9993f899273c74baaa95e15386cd97b6e7/goreq.go#L130-L138,1,
Go,convert string to number,https://github.com/shutterstock/go-stockutil/blob/39a961cfa60878cca33570f9431c09db1600e4db/stringutil/stringutil.go#L203-L209,1,
Go,deserialize json,https://github.com/control-center/serviced/blob/7028f598e6a224b4d421e09cb9b582ad7d000304/datastore/datastore.go#L170-L177,1,
Go,extract latitude and longitude from given input,https://github.com/olivere/elastic/blob/0534a7b1bf47b1ccf57e905491a641709f8a623d/geo_point.go#L34-L36,0,
Go,get current ip address,https://github.com/softlayer/softlayer-go/blob/aa510384a41b6450fa6a50e943ed32f5e838fada/services/network.go#L14465-L14471,0,I think the query is not very detailed and hence I couldn't correlate it to the code output
Go,get current process id,https://github.com/containerd/containerd/blob/a17c8095716415cebb1157a27db5fccace56b0fc/runtime/v2/runhcs/service.go#L178-L183,1,
Go,fuzzy match ranking,https://github.com/coreos/go-omaha/blob/e409d983eb60842452f0fb6245137458ca45201a/omaha/client/fuzzytime.go#L31-L41,1,
Go,parse query string in url,https://github.com/signalfx/gateway/blob/60f8886d9dbf529d974d8f3c0b9e932d8a7570a0/config/config.go#L179-L187,1,
Go,how to get html of website,https://github.com/google/go-genproto/blob/54afdca5d873f7b529e2ce3def1a99df16feda90/googleapis/ads/googleads/v1/common/policy.pb.go#L587-L592,0,
Go,get inner html,https://github.com/yosssi/ace/blob/2b21b56204aee785bf8d500c3f9dcbe3ed7d4515/helper_method_content.go#L16-L39,1,
Go,matrix multiply,https://github.com/wcharczuk/go-chart/blob/9852fce5a172598e72d16f4306f0f17a53d94eb4/matrix/matrix.go#L371-L387,3,
Go,print model summary,https://github.com/karlseguin/expect/blob/ecc6aa3406d03d381160d52b8a76268abdb14321/runner.go#L275-L285,0,
Go,html entities replace,https://github.com/advancedlogic/GoOse/blob/6cd46faf50eb2105cd5de7328ee8eb62557895c9/cleaner.go#L418-L441,0,
Go,how to determine a string is a valid word,https://github.com/thriftrw/thriftrw-go/blob/a9a6ad793beab07cc3385954d2e8af8abfaa83e2/gen/string.go#L84-L93,0,
Go,how to reverse a string,https://github.com/iikira/baidu-tools/blob/79c93d8033cdda61dd2278f0e4a75c5ea8388f3c/tieba/tiebautil/client_signature.go#L67-L73,3,
Go,html encode string,https://github.com/otiai10/marmoset/blob/2adcf18928cbc73d640249eed0ac8e49ce4bdcb8/render.go#L27-L40,1,
Go,hash set for counting distinct elements,https://github.com/ethereum/go-ethereum/blob/b6c0234e0b5c9d459d1ed784c910f6348890d56b/consensus/ethash/algorithm.go#L234-L263,0,
Go,group by count,https://github.com/cuigh/auxo/blob/35f08384a278c4f5c01bf96896e5964611e4a05d/db/gsd/select.go#L306-L309,1,
Go,initializing array,https://github.com/robertkrimen/otto/blob/15f95af6e78dcd2030d8195a138bd88d4f403546/builtin_array.go#L114-L126,0,
Go,readonly array,https://github.com/kubernetes/kubernetes/blob/6a8a3682919652ae668c389ed2f60efb770eed03/pkg/volume/azure_dd/azure_mounter.go#L46-L59,0,
Go,reading element from html - <td>,https://github.com/mmcdole/gofeed/blob/0e68beaf6fdf215bd1fe42a09f6de292c7032359/internal/shared/xmlbase.go#L212-L258,2,
Go,binomial distribution,https://github.com/leesper/go_rng/blob/5344a9259b21627d94279721ab1f27eb029194e7/binomial.go#L51-L65,2,
Go,parse command line argument,https://github.com/rsc/rsc/blob/fc62025902295658a9c7e89418e095fd598b2682/google/gmail/gmail.go#L275-L417,1,
Go,convert decimal to hex,https://github.com/webx-top/com/blob/01419a9b4188b43cba46b7ae02136d01e4fccf9c/convert.go#L189-L205,3,
Go,convert int to string,https://github.com/kubicorn/kubicorn/blob/c4a4b80994b4333709c0f8164faabd801866b986/cloud/amazon/public/resources/securitygroup.go#L375-L381,3,"This is a great match, but I wouldn't let this pass a PR review. This is an unnecessary abstraction, but it's a great match nevertheless. "
Go,randomly extract x items from a list,https://github.com/antongulenko/golib/blob/5860401d795186159946857d3d6057628e049840/sort.go#L36-L42,1,
Go,html entities replace,https://github.com/gogs/gogs/blob/4f9c5b60c56606e709c4da2d1587aa7096ae24da/pkg/template/template.go#L130-L132,0,
Go,get current process id,https://github.com/containerd/containerd/blob/a17c8095716415cebb1157a27db5fccace56b0fc/windows/task.go#L404-L410,1,
Go,how to get html of website,https://github.com/kataras/iris/blob/6aafc0b9d5e97d0c52e325d8c4b4d23d61eb3f9d/_examples/tutorial/caddy/server1/main.go#L41-L49,0,
Go,how to randomly pick a number,https://github.com/minio/minio/blob/4b858b562a0887e10bfd0414dc87e68f1af31c3a/cmd/healthcheck-handler.go#L102-L108,0,
Go,format date,https://github.com/gobuffalo/buffalo/blob/7f360181f4ccd79dcc9dcea2c904a4801f194f04/mail/internal/mail/message.go#L182-L184,2,
Go,convert decimal to hex,https://github.com/chrislusf/gleam/blob/a7aa467b545f5e5e452aaf818299a5f6e6b23760/sql/parser/yy_parser.go#L156-L164,1,
Go,get inner html,https://github.com/zorkian/go-datadog-api/blob/fcf4c3b6edfd28f3bf01965725f290489b10d1ec/datadog-accessors.go#L18618-L18623,1,
Go,deducting the median from each column,https://github.com/lileio/lile/blob/becf404ea65c4dd7cbe6e8c6dd2a313d07359b4e/protoc-gen-lile-server/main.go#L159-L166,0,
Go,map to json,https://github.com/cloudfoundry/cli/blob/5010c000047f246b870475e2c299556078cdad30/cf/util/json/json_parser.go#L29-L54,2,
Go,fuzzy match ranking,https://github.com/coreos/go-omaha/blob/e409d983eb60842452f0fb6245137458ca45201a/omaha/client/fuzzytime.go#L45-L47,0,
Go,hash set for counting distinct elements,https://github.com/go-xorm/xorm/blob/ce804aee6c5118ed9a6bc04754aea4ea65232fe5/session_cols.go#L177-L180,0,
Go,how to reverse a string,https://github.com/logrusorgru/aurora/blob/cea283e61946ad8227cc02a24201407a2c9e5182/wrap.go#L138-L143,1,
Go,postgresql connection,https://github.com/hyperledger/burrow/blob/59993f5aad71a8e16ab6ed4e57e138e2398eae4e/vent/sqldb/adapters/postgres_adapter.go#L41-L84,1,
Go,hash set for counting distinct elements,https://github.com/hyperledger/fabric/blob/49f496925df1e66198d7ec794849536c9f8b104b/gossip/privdata/reconcile.go#L289-L311,0,
Go,convert json to csv,https://github.com/ForceCLI/force/blob/dcf4021894573897981e05f26e1282dd209519e2/command/query.go#L40-L51,0,
Go,how to empty array,https://github.com/robertkrimen/otto/blob/15f95af6e78dcd2030d8195a138bd88d4f403546/type_regexp.go#L121-L146,0,
Go,get current observable value,https://github.com/lxc/lxd/blob/7a41d14e4c1a6bc25918aca91004d594774dcdd3/lxd/networks_utils.go#L1016-L1025,0,
Go,set file attrib hidden,https://github.com/keybase/client/blob/b352622cd8cc94798cfacbcb56ada203c18e519e/go/protocol/keybase1/home.go#L54-L73,0,
Go,positions of substrings in string,https://github.com/dop251/goja/blob/8d6ee3d1661108ff8433016620abb64dfa6d9937/string_ascii.go#L256-L258,1,
Go,create cookie,https://github.com/sclevine/agouti/blob/96599c91888f1b1cf2dccc7f1776ba7f511909e5/api/session.go#L139-L148,2,
Go,get the description of a http status code,https://github.com/TheThingsNetwork/go-utils/blob/aa2a11bd59104d2a8609328c2b2b55da61826470/errors/http.go#L53-L60,0,The correct function should be https://golang.org/pkg/net/http/#StatusText. This is therefore irrelevant. 
Go,priority queue,https://github.com/beeker1121/goque/blob/4044bc29b28064db4f08e947c4972d5ca3e0f3c8/priority_queue.go#L84-L118,2,
Go,underline text in label widget,https://github.com/gotk3/gotk3/blob/c89a2934a82722863fb6782d9245c4e7c3cf25f1/gtk/label.go#L45-L48,0,
Go,linear regression,https://github.com/montanaflynn/stats/blob/38304a2645bb6bd10153d518e10a9b69190ff730/regression.go#L14-L47,3,
Go,extract latitude and longitude from given input,https://github.com/mattbaird/elastigo/blob/2fe47fd29e4b70353f852ede77a196830d2924ec/lib/searchfilter.go#L324-L328,1,
Go,fuzzy match ranking,https://github.com/coreos/go-omaha/blob/e409d983eb60842452f0fb6245137458ca45201a/omaha/client/fuzzytime.go#L51-L53,0,
Go,output to html file,https://github.com/darkhelmet/tinderizer/blob/f46418cc7edd6695140867d40446645c428cbda2/job/job.go#L106-L110,1,
Go,how to check if a checkbox is checked,https://github.com/rivo/tview/blob/90b4da1bd64ceee13d2e7d782b315b819190f7bf/checkbox.go#L58-L61,0,
Go,how to empty array,https://github.com/kubernetes-retired/contrib/blob/89f6948e24578fed2a90a87871b2263729f90ac3/scale-demo/Godeps/_workspace/src/k8s.io/kubernetes/pkg/api/deep_copy_generated.go#L2724-L2726,0,To empty an array you set it to nil. Some content for this: https://yourbasic.org/golang/clear-slice/
Go,pretty print json,https://github.com/chzyer/logex/blob/445be9e134b204a8c920a30fedad02b2f2ab1efd/logex.go#L109-L117,2,
Go,encode url,https://github.com/openshift/origin/blob/00a7323a2f454c2ca26ab58e1f487dc81e30e19c/pkg/oauthserver/oauth/external/handler.go#L339-L341,2,
Go,convert int to bool,https://github.com/cloudflare/golibs/blob/4efefffc6d5c2168e1c209e44dad549e0674e7a3/bytepool/bytepool.go#L128-L135,0,
Go,randomly extract x items from a list,https://github.com/urandom/readeef/blob/63b79a7bde3f3da1f4b6b3224235c346a34906f0/content/thumbnail/extract.go#L40-L70,0,
Go,how to randomly pick a number,https://github.com/grokify/gotilla/blob/a89420864b4d1cc22c57bcc025cc960a91372b37/strconv/phonenumber/fictitiousgenerator.go#L49-L52,0,
Go,html encode string,https://github.com/json-iterator/go/blob/0ff49de124c6f76f8494e194af75bde0f1a49a29/config.go#L261-L264,2,
Go,httpclient post json,https://github.com/nlopes/slack/blob/65ea2b979a7ffe628676bdb6b924e2498d66c1bf/misc.go#L210-L219,2,
Go,sorting multiple arrays based on another arrays sorted order,https://github.com/mc2soft/pq-types/blob/ada769d4011a027a5385b9c4e47976fe327350a6/int32_array.go#L77-L92,1,
Go,nelder mead optimize,https://github.com/Workiva/go-datastructures/blob/f07cbe3f82ca2fd6e5ab94afce65fe43319f675f/numerics/optimization/nelder_mead.go#L555-L559,1,
Go,get all parents of xml node,https://github.com/thecodeteam/gorackhd/blob/66bd88ab29593b880ba59b35db2c17a4b4bab1f1/client/nodes/nodes_client.go#L147-L168,0,
Go,get all parents of xml node,https://github.com/vmware/govmomi/blob/fc3f0e9d2275df0e497a80917807a7c72d3c35bc/vim25/xml/typeinfo.go#L115-L228,0,
Go,filter array,https://github.com/koron/go-dproxy/blob/fd990aff3734271e213a87f118319cf104bb2dd6/set.go#L90-L101,1,
Go,convert int to string,https://github.com/go-openapi/swag/blob/b3e2804c8535ee0d1b89320afd98474d5b8e9e3b/convert.go#L91-L97,1,
Go,how to extract zip file recursively,https://github.com/jdxcode/gode/blob/46ec1874bc6dce6e90fb1583a6d5110f7bc40ae1/zip.go#L10-L28,2,
Go,k means clustering,https://github.com/chasex/redis-go-cluster/blob/222d81891f1d3fa7cf8b5655020352c3e5b4ec0f/cluster.go#L182-L222,0,
Go,convert a date string into yyyymmdd,https://github.com/jpfielding/gorets/blob/1fe0f2d805aec564b6a18e24909e0f544a71e0a3/pkg/util/metadata_conversion.go#L17-L31,1,
Go,custom http error response,https://github.com/aws/aws-sdk-go/blob/6c4060605190fc6f00d63cd4e5572faa9f07345d/service/cloudfront/api.go#L6650-L6653,1,
Go,binomial distribution,https://github.com/openshift/origin/blob/00a7323a2f454c2ca26ab58e1f487dc81e30e19c/pkg/security/mcs/label.go#L202-L204,0,The function is local to the function and not a free identifier (an identifier that was defined in the function block scope). Therefore this is not very useful. 
Go,convert html to pdf,https://github.com/keybase/client/blob/b352622cd8cc94798cfacbcb56ada203c18e519e/go/kbfs/libhttpserver/content_type_utils.go#L54-L79,0,
Go,group by count,https://github.com/pilosa/pilosa/blob/67d53f6b48a43f7fe090f48e35518ca8d024747c/encoding/proto/proto.go#L1136-L1145,1,
Go,confusion matrix,https://github.com/sjwhitworth/golearn/blob/82e59c89f5020c45292c68472908f2150a87422e/examples/trees/trees.go#L15-L148,1,"There is a function call, called `evaluation.GetConfusionMatrix` which I think might be relevant, but otherwise the query is very verbose and not detailed, hence I think this is a weak match. But I would be able to pick up some useful information out of this. "
Go,encode url,https://github.com/segmentio/objconv/blob/7a1d7b8e6f3551b30751e6b2ea6bae500883870e/adapters/net/url/encode.go#L10-L13,2,
Go,filter array,https://github.com/asaskevich/govalidator/blob/f61b66f89f4a311bef65f13e575bcf1a2ffadda6/arrays.go#L39-L47,2,
Go,html encode string,https://github.com/minio/mc/blob/f0f156aca82e451c80b05d5be8eb01a04fee29dd/pkg/colorjson/encode.go#L615-L638,1,
Go,get all parents of xml node,https://github.com/ChrisTrenkamp/goxpath/blob/c385f95c6022e7756e91beac5f5510872f7dcb7d/internal/execxp/findutil/findUtil.go#L48-L55,2,
Go,encode url,https://github.com/polds/imgbase64/blob/cb7bf37298b7c2d13bd2451f51674d6bbdb46e44/images.go#L78-L84,2,
Go,buffered file reader read text,https://github.com/tideland/golib/blob/b56169c6bd620eeb7cfc4b9b4027fc10d2934c84/sml/reader.go#L230-L260,1,
Go,custom http error response,https://github.com/aws/aws-sdk-go/blob/6c4060605190fc6f00d63cd4e5572faa9f07345d/service/cloudfront/api.go#L6720-L6723,0,
Go,convert json to csv,https://github.com/ghetzel/diecast/blob/3cf4315555ad6d1e50e51ddf7778eedb91da56ca/util.go#L122-L156,1,
Go,parse command line argument,https://github.com/iron-io/functions/blob/d59d7d1c40b2ff26b1afee31bde64df444e96525/fn/app/app.go#L89-L101,2,
Go,convert a date string into yyyymmdd,https://github.com/control-center/serviced/blob/7028f598e6a224b4d421e09cb9b582ad7d000304/cli/api/logs.go#L511-L616,0,
Go,httpclient post json,https://github.com/layer-x/layerx-commons/blob/a9e7080c940208a2a089fd854ecf4831b3b3f78c/lxhttpclient/httpclient.go#L268-L272,1,
Go,get executable path,https://github.com/miketheprogrammer/go-thrust/blob/6aa55589fcc4ec586d442e4f7ed315afe3dfcda9/lib/spawn/helper_windows.go#L51-L54,1,
Go,get current ip address,https://github.com/mesos/mesos-go/blob/ee67238bbd943c751ec0a5dffb09af2b0182d361/api/v0/mesosproto/mesos.pb.go#L4142-L4147,1,
Go,how to get current date,https://github.com/pivotal-pez/pezauth/blob/7c01f70760da2124e6fac36b569d9130552afea8/integrations/inventory.go#L146-L156,1,The current date can be retrieved via `time.Now()`. Hence a weak match
Go,convert a utc time to epoch,https://github.com/Microsoft/go-winio/blob/3fe4fa31662f6ede2353d913e93907b8e096e0b6/wim/wim.go#L199-L207,0,
Go,get current observable value,https://github.com/dmiller/go-seq/blob/7e6f351b75cf7a8534be0b93dd1929ea5f08d86a/stm/ref.go#L99-L106,1,
Go,randomly extract x items from a list,https://github.com/fabric8-services/fabric8-wit/blob/54759c80c42ff2cf29b352e0f6c9330ce4ad7fce/kubernetes/deployments_kubeclient.go#L2066-L2077,0,
Go,replace in file,https://github.com/gohugoio/hugo/blob/f94a388ad319eaa6b2d9b32658c1257e9ca8ce4c/releaser/releaser.go#L304-L328,3,
Go,get the description of a http status code,https://github.com/moby/moby/blob/e516af6e5636023e85335ed8d9d0d824349dd6ff/errdefs/http_helpers.go#L14-L69,3,
Go,filter array,https://github.com/rsc/pdf/blob/c47d69cf462f804ff58ca63c61a8fb2aed76587e/read.go#L793-L819,1,
Go,linear regression,https://github.com/markcheno/go-talib/blob/cd53a9264d70bedcff891f59bf153275f524c100/talib.go#L5108-L5144,3,
Go,set file attrib hidden,https://github.com/hajimehoshi/ebiten/blob/3ce8babd9bd0470bd5683158cc320277cc04d5ed/internal/graphicsdriver/opengl/context_js.go#L248-L252,0,
Go,initializing array,https://github.com/ardielle/ardielle-go/blob/c4ab435c6f1ae2ece59bdd174b5b27c4f9828cff/rdl/basictypes_model.go#L284-L292,0,
Go,get all parents of xml node,https://github.com/moovweb/gokogiri/blob/a1a828153468a7518b184e698f6265904108d957/xml/node.go#L379-L384,2,
Java,fuzzy match ranking,https://github.com/spotbugs/spotbugs/blob/f6365c6eea6515035bded38efa4a7c8b46ccf28c/spotbugs/src/main/java/edu/umd/cs/findbugs/ba/vna/ValueNumberFrame.java#L507-L513,0,
Java,create cookie,https://github.com/apache/spark/blob/25ee0474f47d9c30d6f553a7892d9549f91071cf/sql/hive-thriftserver/src/main/java/org/apache/hive/service/cli/thrift/ThriftHttpServlet.java#L281-L296,2,
Java,parse query string in url,https://github.com/tanhaichao/leopard-lang/blob/8ab110f6ca4ea84484817a3d752253ac69ea268b/leopard-httpnb/src/main/java/io/leopard/httpnb/HttpHeaderDeleteImpl.java#L27-L47,0,
Java,convert int to string,https://github.com/hankcs/HanLP/blob/a538d0722ab2e4980a9dcd9ea40324fc3ddba7ce/src/main/java/com/hankcs/hanlp/dictionary/TransformMatrixDictionary.java#L43-L46,0,
Java,deducting the median from each column,https://github.com/datacleaner/AnalyzerBeans/blob/f82dae080d80d2a647b706a5fb22b3ea250613b3/core/src/main/java/org/eobjects/analyzer/job/runner/ConsumeRowHandler.java#L149-L220,0,
Java,read properties file,https://github.com/hypfvieh/java-utils/blob/407c32d6b485596d4d2b644f5f7fc7a02d0169c6/src/main/java/com/github/hypfvieh/util/FileIoUtil.java#L78-L89,2,
Java,get executable path,https://github.com/mike10004/common-helper/blob/744f82d9b0768a9ad9c63a57a37ab2c93bf408f4/native-helper/src/main/java/com/github/mike10004/nativehelper/subprocess/Subprocess.java#L505-L509,1,
